date,S,I,R,susceptible,infected,recovered,cases,forecast
2020-02-27,14832.39670598509,2.731154566236626,0.1567170360046889,14834.284577587328,1.0,0.0,1.0,2.887871602241315
2020-02-28,14831.212022077008,3.8174846556713384,0.2550708546510858,14829.284577587328,6.0,0.0,6.0,4.072555510322424
2020-02-29,14829.556311557348,5.335723022857269,0.39254300712882073,14827.284577587328,8.0,0.0,8.0,5.72826602998609
2020-03-01,14827.242480086483,7.457413437103901,0.5846840637459217,14823.284577587328,12.0,0.0,12.0,8.042097500849824
2020-03-02,14824.009293670326,10.42206513931511,0.8532187776895294,14823.284577587328,12.0,0.0,12.0,11.27528391700464
2020-03-03,14819.49216725485,14.563920153926226,1.228490178552781,14823.284577587328,12.0,0.0,12.0,15.792410332479006
2020-03-04,14813.18260210507,20.349111118841325,1.752864363415916,14823.284577587328,12.0,0.0,12.0,22.10197548225724
2020-03-05,14804.372014679835,28.427096034299684,2.4854668731923573,14823.284577587328,12.0,0.0,12.0,30.912562907492042
2020-03-06,14792.074245042304,39.7015737763219,3.5087587686978785,14814.284577587328,21.0,0.0,21.0,43.21033254501978
2020-03-07,14774.919229387398,55.42770624505302,4.937641954871161,14808.284577587328,27.0,0.0,27.0,60.36534819992418
2020-03-08,14751.008224947076,77.34433444474348,6.932018195504093,14801.284577587328,34.0,0.0,34.0,84.27635264024758
2020-03-09,14717.718856384527,107.85170322279943,9.714017979999443,14781.284577587328,43.0,11.0,54.0,117.56572120279887
2020-03-10,14671.44679527154,150.2463280053536,13.591454310431857,14764.284577587328,60.0,11.0,71.0,163.83778231578546
2020-03-11,14607.27158957675,209.02358649402072,18.98940151655469,14745.284577587328,79.0,11.0,90.0,228.0129880105754
2020-03-12,14518.539988269524,290.2525434597386,26.492045858062433,14720.284577587328,104.0,11.0,115.0,316.74458931780106
2020-03-13,14396.376399399818,402.01129823348634,36.89687995401888,14616.284577587328,219.0,0.0,219.0,438.9081781875052
2020-03-14,14229.165564580184,554.8365201353188,51.28249287182062,14566.284577587328,267.0,2.0,269.0,606.1190130071394
2020-03-15,14002.11914791193,762.0765113729981,71.08891830239519,14398.284577587328,431.0,6.0,437.0,833.1654296753933
2020-03-16,13876.753611023647,862.8386834244772,95.69228313921178,14281.284577587328,547.0,7.0,554.0,958.5309665636889
2020-03-17,13736.269576375835,975.4868108266163,123.52819038488613,14152.284577587328,672.0,11.0,683.0,1099.0150012115025
2020-03-18,13579.285543636297,1101.026765970426,154.97226798061268,13976.284577587328,802.0,57.0,859.0,1255.9990339510387
2020-03-19,13404.41273790624,1240.4414686613256,190.43037101977183,13827.284577587328,952.0,56.0,1008.0,1430.8718396810975
2020-03-20,13210.29087277915,1394.6563286978994,230.33737611028772,13548.284577587328,1221.0,66.0,1287.0,1624.9937048081872
2020-03-21,12995.6322706393,1564.4974788087577,275.1548281392758,13320.284577587328,1439.0,76.0,1515.0,1839.6523069480336
2020-03-22,12759.27446352846,1750.642909555246,325.3672045036278,13110.284577587328,1640.0,85.0,1725.0,2076.010114058874
